studentId,studentUserName,challenge,score,code
12261546,sutejask,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

typedef struct Node{
    int val;
    struct Node* next;
}Node;

void reverse(Node** head){
    Node* current = *head;
    if(current == NULL) return;
    Node* prev = NULL;
    Node* next = current->next;

    while(next!=NULL){
        current->next = prev;
        prev = current;
        current = next;
        next = next->next;
    }
    current->next = prev;
    (*head) = current;

}

int main(){
    int n,x;
    scanf(""%d"",&n);
    Node* head = NULL;
    Node* copy = NULL;
    for(int i=0;i<n;i++){
        scanf(""%d"",&x);
        Node* temp = malloc(sizeof(Node));
        temp->val = x;
        if(copy == NULL){
            head = temp;
            copy = temp;
        }
        else{
            copy->next = temp;
            copy = copy->next;
        }
    }

    reverse(&head);
    copy = head;
    while(copy!=NULL){
        printf(""%d"",copy->val);
        copy = copy->next;
    }
    return 0;
}
"
18914478,PES1UG22AM038,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

typedef struct node{
    int data;
    struct node* next;
}NODE;

NODE* reverse(NODE* head){
    NODE* prev =NULL;
    NODE* curr = head;
    NODE* next = NULL;
    while(curr!=NULL){
        next = curr->next;
        curr->next=prev;
        prev=curr;
        curr=next;
    }
    return prev;
}

NODE* createNode(int data){
    NODE* newnode = (NODE*)malloc(sizeof(NODE));
    newnode->data = data;
    return newnode;
}
NODE* insertfront(NODE* head,int data){
    NODE* newnode = createNode(data);
    newnode->next = head;
    return newnode;
}

NODE* insert(NODE* head,int data){
    if(head==NULL){
        head = insertfront(head,data);
        return head;
    }
    else{
    NODE* temp=head;
    while(head->next!=NULL){
        head=head->next;
    }
    NODE* newnode = createNode(data);
    head->next = newnode;
    return temp;
    }
}

void display(NODE* head){
    while(head!=NULL){
        printf(""%d"",head->data);
        head=head->next;
    }
}

int main() {
    int num,data;
    NODE* head = NULL;
    scanf(""%d"",&num);
    if(num>0){
    for(int i=0;i<num;i++){
        scanf(""%d"",&data);
        head = insert(head,data);
    }
    NODE* new_head= reverse(head);
    display(new_head);
    return 0;
    }
}
"
18914478,PES1UG22AM038,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <stdlib.h>

typedef struct Node {
    int data;
    struct Node* next;
} Node;

Node* insertEnd(Node* head, int data) {
    Node* newNode = (Node*)malloc(sizeof(Node));
    newNode->data = data;
    newNode->next = NULL;

    if (head == NULL) {
        head = newNode;
    } else {
        Node* current = head;
        while (current->next != NULL) {
            current = current->next;
        }
        current->next = newNode;
    }
    return head;
}

Node* addReversedLists(Node* list1, Node* list2) {
    Node* result = NULL;
    int carry = 0;

    while (list1 != NULL || list2 != NULL) {
        int sum = carry;

        if (list1 != NULL) {
            sum += list1->data;
            list1 = list1->next;
        }

        if (list2 != NULL) {
            sum += list2->data;
            list2 = list2->next;
        }

        carry = sum / 10;
        sum = sum % 10;
        result = insertEnd(result, sum);
    }

    if (carry > 0) {
        result = insertEnd(result, carry);
    }

    return result;
}

void printList(Node* head) {
    Node* current = head;
    while (current != NULL) {
        printf(""%d "", current->data);
        current = current->next;
    }
    printf(""\n"");
}

int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);

    Node* list1 = NULL;
    Node* list2 = NULL;

    for (int i = 0; i < n1; i++) {
        int digit;
        scanf(""%d"", &digit);
        list1 = insertEnd(list1, digit);
    }

    for (int i = 0; i < n2; i++) {
        int digit;
        scanf(""%d"", &digit);
        list2 = insertEnd(list2, digit);
    }

    Node* result = addReversedLists(list1, list2);
    printList(result);

    return 0;
}"
19004019,PES1UG22AM022,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

struct Node {
    int data;
    struct Node* next;
};

struct Node* reverseLinkedList(struct Node* head) {
    struct Node* prev = NULL;
    struct Node* current = head;
    struct Node* nextNode;

    while (current != NULL) {
        nextNode = current->next;
        current->next = prev;
        prev = current;
        current = nextNode;
    }

    return prev;
}
void insertback(struct Node **head, int ele){
    if(*head == NULL){
        *head = (struct Node*)malloc(sizeof(struct Node));
        (*head)->data = ele;
        (*head)->next = NULL;
    }
    else{
        struct Node* newhead = (struct Node*)malloc(sizeof(struct Node));
        newhead->data = ele;
        newhead->next = NULL;
        struct Node* temp = *head;
        while(temp->next!=NULL){
            temp = temp->next;
        }
        temp->next = newhead;
    }
}

void displayList(struct Node* head) {
    struct Node* current = head;
    while (current != NULL) {
        printf(""%d"", current->data);
        current = current->next;
    }
    printf(""\n"");
}

int main() {
    struct Node* head = NULL;
    int n,ele;
    scanf(""%d"",&n);
    for(int i =0;i<n;i++){
        scanf(""%d"",&ele);
        insertback(&head,ele);
        }
    


    struct Node* reversedHead = reverseLinkedList(head);

    displayList(reversedHead);

    struct Node* current = reversedHead;
    while (current != NULL) {
        struct Node* temp = current;
        current = current->next;
        free(temp);
    }

    return 0;
}
"
19004019,PES1UG22AM022,ADD TWO NUMBERS 104,15,"#include<stdio.h>
#include<string.h>
#include<stdlib.h>
#include<math.h>



typedef struct Node 
{
    int data;
    struct Node* next;
} Node;

Node* add_linked_lists(Node* l1, Node* l2) 
{
    Node* dummy=(Node*)malloc(sizeof(Node));
    dummy->data= 0;
    dummy->next = NULL;
    Node* current = dummy;
    int carry = 0;
    
    while (l1 || l2 || carry) {
        int val1 = l1 ? l1->data : 0;
        int val2 = l2 ? l2->data : 0;
        
        int total = val1 + val2 + carry;
        carry = total / 10;
        int digit = total % 10;
        
        Node* new_node = (Node*)malloc(sizeof(Node));
        new_node->data = digit;
        new_node->next = NULL;
        
        current->next = new_node;
        current = current->next;
        
        if (l1) {
            l1 = l1->next;
        }
        if (l2) {
            l2 = l2->next;
        }
    }
    
    Node* result_head = dummy->next;
    free(dummy);
    return result_head;
}

void print_linked_list(Node* head) {
    Node* current = head;
    while (current) {
        printf(""%d"", current->data);
        if (current->next) {
            printf("" "");
        }
        current = current->next;
    }
    printf(""\n"");
}

int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);
    
    Node* head1 = NULL;
    for (int i = 0; i < n1; ++i) {
        int digit;
        scanf(""%d"", &digit);
        Node* new_node = (Node*)malloc(sizeof(Node));
        new_node->data = digit;
        new_node->next = head1;
        head1 = new_node;
    }
    Node* reversed_head1 = NULL;
    Node* current1 = head1;
    while (current1) {
        Node* next = current1->next;
        current1->next = reversed_head1;
        reversed_head1 = current1;
        current1 = next;
    }
    
    Node* head2 = NULL;
    for (int i = 0; i < n2; ++i) {
        int digit;
        scanf(""%d"", &digit);
        Node* new_node = (Node*)malloc(sizeof(Node));
        new_node->data = digit;
        new_node->next = head2;
        head2 = new_node;
    }
    Node* reversed_head2 = NULL;
    Node* current2 = head2;
    while (current2) {
        Node* next = current2->next;
        current2->next = reversed_head2;
        reversed_head2 = current2;
        current2 = next;
    }
    
    Node* result_head = add_linked_lists(reversed_head1, reversed_head2);
    
    print_linked_list(result_head);
    
    return 0;
}
    
"
19438079,moblie,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

typedef struct node {
    int data;
    struct node * link;
}NODE;

NODE * add_to_list (NODE * head,int val) {
    NODE * new_node = malloc(sizeof(NODE));
    new_node->data = val;
    new_node->link = NULL;
    
    if (head == NULL) {
        head = new_node;
    }
    
    else {
        NODE * hold = head;
        while (hold->link != NULL) {
            hold = hold->link;
        }
        
        hold->link = new_node;
    }
    
    return head;
}

void display_list (NODE * head) {
    if (head != NULL) {
        NODE * traverse = head;
        while (traverse != NULL) {
            printf(""%d"", traverse->data);
            traverse = traverse->link;
        }
    }
}

NODE * reverse_list (NODE * head) {
    NODE * prev = NULL;
    NODE * curr = head;
    NODE * next = NULL;
    
    while (curr != NULL) {
        next = curr->link;
        curr->link = prev;
        prev = curr;
        curr = next;
    }
    
    return prev;
}

int main() {
    
    NODE * head = malloc(sizeof(NODE));
    head = NULL;
        
    int count;
    scanf(""%d"", &count);
    int count_new = fabs(count);
    
    for (int i = 1; i <= count_new; i++) {
        int value;
        scanf(""%d"", &value);
        head = add_to_list(head, value);
    }
    
    head = reverse_list(head);
    display_list(head);
    
    return 0;
}
"
19631515,PES1UG22AM005,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

struct ListNode {
    int value;
    struct ListNode* next;
};

struct ListNode* reverse_linked_list(struct ListNode* head) {
    struct ListNode* prev = NULL;
    struct ListNode* current = head;
    struct ListNode* next_node;

    while (current != NULL) {
        next_node = current->next;
        current->next = prev;
        prev = current;
        current = next_node;
    }

    return prev;
}

int main() {
    int n;
    scanf(""%d"", &n);

    struct ListNode* head = NULL;
    struct ListNode* current = NULL;

    for (int i = 0; i < n; i++) {
        int value;
        scanf(""%d"", &value);

        struct ListNode* new_node = (struct ListNode*)malloc(sizeof(struct ListNode));
        new_node->value = value;
        new_node->next = NULL;

        if (!head) {
            head = new_node;
            current = head;
        } else {
            current->next = new_node;
            current = current->next;
        }
    }

    head = reverse_linked_list(head);


    current = head;
    while (current) {
        printf(""%d"", current->value);
        current = current->next;
    }

    return 0;
}"
19631515,PES1UG22AM005,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>


struct Node {
    int val;
    struct Node* next;
};

struct Node* reverseList(struct Node* head) {
    struct Node* prev = NULL;
    struct Node* current = head;

    while (current != NULL) {
        struct Node* nextNode = current->next;
        current->next = prev;
        prev = current;
        current = nextNode;
    }

    return prev;
}

void printList(struct Node* head) {
    struct Node* current = head;
    while (current != NULL) {
        printf(""%d"", current->val);
        if (current->next != NULL) {
            printf("" ""); // Print space if there's a next node
        }
        current = current->next;
    }
}

struct Node* addLists(struct Node* l1, struct Node* l2) {
    struct Node* dummyHead = (struct Node*)malloc(sizeof(struct Node));
    dummyHead->val = 0;
    dummyHead->next = NULL;
    struct Node* current = dummyHead;
    int carry = 0;

    while (l1 != NULL || l2 != NULL || carry != 0) {
        int sum = carry;
        if (l1 != NULL) {
            sum += l1->val;
            l1 = l1->next;
        }
        if (l2 != NULL) {
            sum += l2->val;
            l2 = l2->next;
        }

        carry = sum / 10;
        sum %= 10;

        current->next = (struct Node*)malloc(sizeof(struct Node));
        current = current->next;
        current->val = sum;
        current->next = NULL;
    }

    struct Node* result = dummyHead->next;
    free(dummyHead);
    return result;
}

int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);

    struct Node* list1 = NULL;
    struct Node* list2 = NULL;

    for (int i = 0; i < n1; i++) {
        int digit;
        scanf(""%d"", &digit);
        struct Node* newNode = (struct Node*)malloc(sizeof(struct Node));
        newNode->val = digit;
        newNode->next = list1;
        list1 = newNode;
    }

    for (int i = 0; i < n2; i++) {
        int digit;
        scanf(""%d"", &digit);
        struct Node* newNode = (struct Node*)malloc(sizeof(struct Node));
        newNode->val = digit;
        newNode->next = list2;
        list2 = newNode;
    }

    list1 = reverseList(list1);
    list2 = reverseList(list2);

    struct Node* sumList = addLists(list1, list2);
    printList(sumList);
    printf(""\n"");

    struct Node* temp = sumList;
    while (temp != NULL) {
        struct Node* nextTemp = temp->next;
        free(temp);
        temp = nextTemp;
    }

    return 0;
}"
20091562,PES1UG22AM052,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

struct Node {
    int data;
    struct Node* next;
};

struct Node* createNode(int data) {
    struct Node* newNode = (struct Node*)malloc(sizeof(struct Node));
    newNode->data = data;
    newNode->next = NULL;
    return newNode;
}

struct Node* reverseLinkedList(struct Node* head) {
    struct Node* prev = NULL;
    struct Node* current = head;
    struct Node* nextNode = NULL;

    while (current != NULL) {
        nextNode = current->next;
        current->next = prev;
        prev = current;
        current = nextNode;
    }

    return prev;
}

void printLinkedList(struct Node* head) {
    while (head != NULL) {
        printf(""%d"", head->data);
        head = head->next;
    }
}

int main() {
    int n;
    scanf(""%d"", &n);

    struct Node* head = NULL;
    struct Node* tail = NULL;

    for (int i = 0; i < n; i++) {
        int value;
        scanf(""%d"", &value);
        struct Node* newNode = createNode(value);
        if (head == NULL) {
            head = newNode;
            tail = newNode;
        } else {
            tail->next = newNode;
            tail = newNode;
        }
    }

    head = reverseLinkedList(head);
    printLinkedList(head);

    // Free allocated memory
    while (head != NULL) {
        struct Node* temp = head;
        head = head->next;
        free(temp);
    }

    return 0;
}
"
20091562,PES1UG22AM052,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include<string.h>
#include<math.h>
#include <stdlib.h>


struct node {
    int val;
    struct node *next;
};

struct node* add_linked_lists(struct node* l1, struct node* l2) {
    struct node* temp = (struct node*)malloc(sizeof(struct node));
    struct node* current = temp;
    int carry = 0;
    
    while (l1 || l2 || carry) {
        int x = l1 ? l1->val : 0;
        int y = l2 ? l2->val : 0;
        
        int sum = x + y + carry;
        carry = sum / 10;
        
        current->next = (struct node*)malloc(sizeof(struct node));
        current = current->next;
        current->val = sum % 10;
        current->next = NULL;
        
        if (l1) l1 = l1->next;
        if (l2) l2 = l2->next;
    }
    
    struct node* result = temp->next;
    free(temp);
    return result;
}


struct node* create_linked_list(int* digits, int num_digits) {
    struct node* temp = (struct node*)malloc(sizeof(struct node));
    struct node* current = temp;
    for (int i = 0; i < num_digits; i++) {
        current->next = (struct node*)malloc(sizeof(struct node));
        current = current->next;
        current->val = digits[i];
        current->next = NULL;
    }
    return temp->next;
}

int main() {
    int num_digits_l1, num_digits_l2;
    scanf(""%d %d"", &num_digits_l1, &num_digits_l2);
    if(num_digits_l1<0 || num_digits_l2>1000){
        printf(""Invalid\n"");
        return 1;
    }

    int digits_l1[num_digits_l1];
    int digits_l2[num_digits_l2];

    for (int i = 0; i < num_digits_l1; i++) {
        scanf(""%d"", &digits_l1[i]);
        
    }

    for (int i = 0; i < num_digits_l2; i++) {
        scanf(""%d"", &digits_l2[i]);
    }

    struct node* l1 = create_linked_list(digits_l1, num_digits_l1);
    struct node* l2 = create_linked_list(digits_l2, num_digits_l2);

    struct node* result = add_linked_lists(l1, l2);

    
    while (result) {
        printf(""%d "", result->val);
        result = result->next;
    }

    return 0;
}"
