studentId,studentUserName,challenge,score,code
22611658,pes1202202160,Polynomial Addition,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

struct Term{

    int coef;
    int expo;
    struct Term* next;
};
void insertTerm(struct Term** poly, int coeff, int exp) 
{
    struct Term* newTerm = (struct Term*)malloc(sizeof(struct Term));
    newTerm->coef = coeff;
    newTerm->expo = exp;
    newTerm->next = NULL;
    
    if (*poly == NULL)
    {
        *poly = newTerm;
    } else 
    {
        struct Term* current = *poly;
        while (current->next != NULL)
        {
            current = current->next;
        }
        current->next = newTerm;
    }
}
struct Term* addPolynomials(struct Term* poly1, struct Term* poly2) 
{
    struct Term* result = NULL;
    while (poly1 != NULL && poly2 != NULL) 
    {
        if (poly1->expo > poly2->expo) 
        {
            insertTerm(&result, poly1->coef, poly1->expo);
            poly1 = poly1->next;
        }
        else if (poly1->expo < poly2->expo) 
        {
            insertTerm(&result, poly2->coef, poly2->expo);
            poly2 = poly2->next;
        } 
        else 
        {
            int sumCoeff = poly1->coef + poly2->coef;
            if (sumCoeff != 0) 
            {
                insertTerm(&result, sumCoeff, poly1->expo);
            }
            poly1 = poly1->next;
            poly2 = poly2->next;
        }
    }
    
    while (poly1 != NULL) 
    {
        insertTerm(&result, poly1->coef, poly1->expo);
        poly1 = poly1->next;
    }
    
    while (poly2 != NULL) 
    {
        insertTerm(&result, poly2->coef, poly2->expo);
        poly2 = poly2->next;
    }
    return result;
}
void displayPolynomial(struct Term* poly) 
{
    while (poly != NULL) 
    {
        printf(""%d "", poly->coef);
        poly = poly->next;
    }
    printf(""\n"");
}
int main() 
{
    int n, m;
    scanf(""%d %d"", &n, &m);
    struct Term* poly1 = NULL;
    struct Term* poly2 = NULL;
    for (int i = 0; i < n + m; ++i) 
    {
        int coeff, exp;
        scanf(""%d %d"", &coeff, &exp);
        if (i < n) 
        {
            insertTerm(&poly1, coeff, exp);
        } else 
        {
            insertTerm(&poly2, coeff, exp);
        }
    }
    struct Term* result = addPolynomials(poly1, poly2);
    displayPolynomial(result);
    return 0;
}
"
22611658,pes1202202160,Divide Linked List 2,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>


typedef struct Node {
    int data;
    struct Node *next;
} Node;

Node *create_node(int data) {
    Node *node = (Node *)malloc(sizeof(Node));
    node->data = data;
    node->next = NULL;
    return node;
}

void printList(Node *head) {
    while (head != NULL) {
        printf(""%d "", head->data);
        head = head->next;
    }
    printf(""\n""); 
}

void splitList(Node *head, Node **first, Node **second) {
    Node *slow = head;
    Node *fast = head;

    while (fast != NULL && fast->next != NULL) {
        fast = fast->next->next;
        if (fast != NULL) {
            slow = slow->next;
        }
    }

    *first = head;
    *second = slow->next;
    slow->next = NULL;
}

int main() {
    int n, data;
    scanf(""%d"", &n);

    Node *head = NULL, *back = NULL;
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &data);
        if (head == NULL) {
            head = create_node(data);
            back = head;
        } else {
            back->next = create_node(data);
            back = back->next;
        }
    }

    Node *first, *second;
    splitList(head, &first, &second);

    printList(first);
    printList(second);
return 0;
}

  "
22611966,pes1202203263,Polynomial Addition,15,"#include <stdio.h>
#include <stdlib.h>

typedef struct Node {
    int coeff;
    int pow;
    struct Node *next;
} Node;

Node *create_node(int coeff, int pow) {
    Node *node = (Node *)malloc(sizeof(Node));
    node->coeff = coeff;
    node->pow = pow;
    node->next = NULL;
    return node;
}

void insert_node(Node **head, int coeff, int pow) {
    Node *node = create_node(coeff, pow);
    if (*head == NULL) {
        *head = node;
        return;
    }
    Node *temp = *head;
    while (temp->next != NULL) {
        temp = temp->next;
    }
    temp->next = node;
}

void print_list(Node *head) {
    while (head != NULL) {
        printf(""%d "", head->coeff);
        head = head->next;
    }
}

Node *add_polynomials(Node *p1, Node *p2) {
    Node *result = NULL;
    while (p1 != NULL && p2 != NULL) {
        if (p1->pow > p2->pow) {
            insert_node(&result, p1->coeff, p1->pow);
            p1 = p1->next;
        } else if (p1->pow < p2->pow) {
            insert_node(&result, p2->coeff, p2->pow);
            p2 = p2->next;
        } else {
            insert_node(&result, p1->coeff + p2->coeff, p1->pow);
            p1 = p1->next;
            p2 = p2->next;
        }
    }
    while (p1 != NULL) {
        insert_node(&result, p1->coeff, p1->pow);
        p1 = p1->next;
    }
    while (p2 != NULL) {
        insert_node(&result, p2->coeff, p2->pow);
        p2 = p2->next;
    }
    return result;
}

int main() {
    int n, m;
    scanf(""%d %d"", &n, &m);
    
    Node *p1 = NULL;
    for (int i = 0; i < n; i++) {
        int coeff, pow;
        scanf(""%d %d"", &coeff, &pow);
        insert_node(&p1, coeff, pow);
    }
    
    Node *p2 = NULL;
    for (int i = 0; i < m; i++) {
        int coeff, pow;
        scanf(""%d %d"", &coeff, &pow);
        insert_node(&p2, coeff, pow);
    }
    
    Node *result = add_polynomials(p1, p2);
    
    print_list(result);

    return 0;
}
"
22611966,pes1202203263,Divide Linked List 2,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
typedef struct node{
    int data;
    struct node* next;
}n;
n* create(int ele){
    n* head=malloc(sizeof(struct node));
    head->data=ele;
    head->next=NULL;
    return head;
}
n* insertend(n* head, int ele)
{
    n* nod = create(ele);
    if (head == NULL)
        head = nod;
    else
    {
        n* temp = head;
        while (temp->next != NULL)
            temp = temp->next;
        temp->next = nod;
    }
    return head;
}

int pointer(n* head){
    int ptr=0;
    while((head->next!=NULL)&&(head->next->next!=NULL)){
        ptr++;
        head=head->next->next;
    }return ptr;
}
int main() {
    n* head=NULL;
    int n;
    scanf(""%d"",&n);
    for(int i=0;i<n;i++){
        int ele;
        scanf(""%d"",&ele);
        head=insertend(head,ele);
    }
    int num = pointer(head);
    int counter=0;
    while(head!=NULL){
        printf(""%d "",head->data);
        if(counter==num)
            printf(""\n"");
        counter++;
        head=head->next;
    }
    return 0;
}
"
22612357,pes1202202183,Polynomial Addition,0,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

struct node
{
    int coefficient;
    int index;
    struct node* link;
};

struct node* add(struct node* head, int coefficient, int index);
void display(struct node* head);


int main()
{

    int n,m;
    int coeff;
    int indice;
    struct node* head = NULL;
    scanf(""%d %d"", &n, &m);
    for(int i=0; i<n+m ; i++)
    {
        scanf(""%d %d"", &coeff, &indice);
        head = add(head,coeff,indice);
    }
    display(head);
    return 0;
}

struct node* add(struct node* head, int coefficient, int index)
{
    struct node* parser = head;
    struct node* temp = malloc(sizeof(struct node));
    if(head==NULL)
    {
        head->coefficient = coefficient;
        head->index = index;
        return temp;
    }
    
    while(parser->index > index)
    {
        if(parser->link == NULL)
        {
            break;
        }
        parser =parser->link;
        
    }
    if(parser->index == index)
    {
        parser->coefficient = parser->coefficient + coefficient;
    }
    else
    {
        temp->index = index;
        temp->coefficient = coefficient;
        temp->link = parser->link;
        parser->link= temp;
    }
    return head;
}

void display(struct node* head)
{
    if(head==NULL)
    {
        printf(""empty"");
    }
    while(head)
    {
        printf(""%d "", head->coefficient);
        
        head = head->link;
    }
}"
22612357,pes1202202183,Divide Linked List 2,7.5,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

struct node
{
    int data;
    struct node* link;
};

struct node* push(struct node* head,int  data);
struct node* split(struct node* head);
void display(struct node* head);

int main() 
{
    int l;
    int temp;
    struct node* head =NULL;
    struct node* tail =malloc(sizeof(struct node));
    scanf(""%d"", &l);
    for(int i=0;i<l;i++)
    {
        scanf(""%d"", &temp);
        head = push(head, temp);
    }
    
    tail=split(head);
    display(head);
    printf(""\n"");
    display(tail);
     
    return 0;
}

struct node* push(struct node* head,int  data)
{
    struct node* temp=malloc(sizeof(struct node));
    temp->data = data;
    temp->link =NULL;
    if(head==NULL)
    {
        return temp;
    }
    
    else
    {
        struct node* p=head;
        while(p->link!=NULL)
        {
            p=p->link;
        }
        p->link=temp;
    }
    
    return head;
}

void display(struct node* head)
{
    while(head)
    {
        printf(""%d "", head->data);
        head=head->link;
    }
}

struct node* split(struct node* head)
{
    struct node* temp1 = head;
    struct node* temp2 = head;
    
    while(temp1->link!=NULL)
    {
        temp1=temp1->link->link;
        temp2 = temp2->link;
    }
    
    temp1=temp2->link;
    temp2->link=0;
    
    return temp1;
}"
22613210,pes1202201178,Polynomial Addition,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>


typedef struct node
{
    int coeff;
    int power;
    struct node *next;
} Node;


// Function definitions

// Function to create a node
Node *create_node(int coeff, int power)
{
    Node *node = (Node *)malloc(sizeof(Node));
    node->coeff = coeff;
    node->power = power;
    node->next = NULL;
    return node;
}

// Function to insrt a node into the list
void insertNode(Node **head, int coeff, int power)
{
    Node *node = create_node(coeff, power);
    if (*head == NULL)
    {
        *head = node;
        return;
    }
    Node *temp = *head;
    while (temp->next != NULL)
    {
        temp = temp->next;
    }
    temp->next = node;
}

// Function to display the sum
void displayList(Node *head)
{
    while (head != NULL)
    {
        printf(""%d "", head->coeff);
        head = head->next;
    }
}

// Function to add the list
Node *addList(Node *p1, Node *p2)
{
    Node *result = NULL;
    while (p1 != NULL && p2 != NULL)
    {
        if (p1->power > p2->power)
        {
            insertNode(&result, p1->coeff, p1->power);
            p1 = p1->next;
        } 
        else if (p1->power < p2->power)
        {
            insertNode(&result, p2->coeff, p2->power);
            p2 = p2->next;
        } 
        else
        {
            insertNode(&result, p1->coeff + p2->coeff, p1->power);
            p1 = p1->next;
            p2 = p2->next;
        }
    }
    while (p1 != NULL)
    {
        insertNode(&result, p1->coeff, p1->power);
        p1 = p1->next;
    }
    while (p2 != NULL)
    {
        insertNode(&result, p2->coeff, p2->power);
        p2 = p2->next;
    }
    return result;
}


int main()
{
    int n, m;
    scanf(""%d %d"", &n, &m);
    
    Node *p1 = NULL;
    for (int i = 0; i < n; i++) {
        int coeff, power;
        scanf(""%d %d"", &coeff, &power);
        insertNode(&p1, coeff, power);
    }
    
    Node *p2 = NULL;
    for (int i = 0; i < m; i++) {
        int coeff, power;
        scanf(""%d %d"", &coeff, &power);
        insertNode(&p2, coeff, power);
    }
    
    Node *result = addList(p1, p2);
    
    displayList(result);

    return 0;
}
"
22613210,pes1202201178,Divide Linked List 2,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

// Structure of a node in the integer linked list
typedef struct node 
{
    int data;
    struct node* link;
} Node;


// Function definitions

// Function to insert a node into the linked list
Node* insertNode(Node* head, int info)
{
    Node* newNode = (Node*)malloc(sizeof(Node));
    if (newNode == NULL)
    {
        printf(""Memory allocation failed\n"");
        return head;
    }

    newNode->data = info;
    newNode->link = NULL;

    if (head == NULL)
    {
        return newNode;
    }
    else
    {
        Node* current = head;
        while (current->link != NULL)
        {
            current = current->link;
        }
        current->link = newNode;
    }

    return head;
}

// Function to read inputs
void readList(int n, Node** head)
{
    if (n < 1)
    {
        return;   
    }
    
    int x;
    for (int i = 1; i <= n; i++)
    {
        scanf(""%d"", &x);
        *head = insertNode(*head, x);
    }
}

// Function to split the list
void splitList(Node* head, Node** head1, Node** head2)
{
    if (head == NULL)
    {
        *head1 = NULL;
        *head2 = NULL;
        return;
    }
    
    Node* slow = head;
    Node* fast = head->link;

    while (fast != NULL && fast->link != NULL)
    {
        slow = slow->link;
        fast = fast->link->link;
    }

    *head1 = head;
    *head2 = slow->link;
    slow->link = NULL;
}

// Function to display all elements of the linked list
void displayList(Node* head)
{
    Node* temp = head;
    if (temp == NULL)
    {
        return;
    }
    while (temp != NULL)
    {
        printf(""%d "", temp->data);
        temp = temp->link;
    }
    printf(""\n"");
}


int main()
{
    int n;
    scanf(""%d"", &n);

    Node* head = NULL;
    readList(n, &head);

    Node* head1 = NULL;
    Node* head2 = NULL;
    splitList(head, &head1, &head2);

    displayList(head1);
    displayList(head2);

    return 0;
}"
22613326,pes1202201050,Polynomial Addition,15,"#include <stdio.h>
#include <stdlib.h>

// Structure to represent a term in the polynomial
struct Term {
    int coefficient;
    int exponent;
    struct Term* next;
};

// Function to insert a new term into the polynomial
void insertTerm(struct Term** poly, int coeff, int exp) {
    struct Term* newTerm = (struct Term*)malloc(sizeof(struct Term));
    newTerm->coefficient = coeff;
    newTerm->exponent = exp;
    newTerm->next = NULL;

    if (*poly == NULL) {
        *poly = newTerm;
    } else {
        struct Term* temp = *poly;
        while (temp->next != NULL) {
            temp = temp->next;
        }
        temp->next = newTerm;
    }
}

// Function to add two polynomials
struct Term* addPolynomials(struct Term* poly1, struct Term* poly2) {
    struct Term* result = NULL;

    while (poly1 != NULL && poly2 != NULL) {
        if (poly1->exponent > poly2->exponent) {
            insertTerm(&result, poly1->coefficient, poly1->exponent);
            poly1 = poly1->next;
        } else if (poly1->exponent < poly2->exponent) {
            insertTerm(&result, poly2->coefficient, poly2->exponent);
            poly2 = poly2->next;
        } else {
            insertTerm(&result, poly1->coefficient + poly2->coefficient, poly1->exponent);
            poly1 = poly1->next;
            poly2 = poly2->next;
        }
    }

    // Add any remaining terms from poly1 or poly2
    while (poly1 != NULL) {
        insertTerm(&result, poly1->coefficient, poly1->exponent);
        poly1 = poly1->next;
    }
    while (poly2 != NULL) {
        insertTerm(&result, poly2->coefficient, poly2->exponent);
        poly2 = poly2->next;
    }

    return result;
}

// Function to print the polynomial
void printPolynomial(struct Term* poly) {
    while (poly != NULL) {
        printf(""%d "", poly->coefficient);
        poly = poly->next;
    }
    printf(""\n"");
}

int main() {
    int n, m;
    scanf(""%d %d"", &n, &m);

    struct Term* poly1 = NULL;
    struct Term* poly2 = NULL;

    for (int i = 0; i < n + m; ++i) {
        int coeff, exp;
        scanf(""%d %d"", &coeff, &exp);
        if (i < n) {
            insertTerm(&poly1, coeff, exp);
        } else {
            insertTerm(&poly2, coeff, exp);
        }
    }

    struct Term* result = addPolynomials(poly1, poly2);

    printPolynomial(result);

    return 0;
}
"
22613326,pes1202201050,Divide Linked List 2,15,"#include <stdio.h>
#include <stdlib.h>

// Define the structure for a singly linked list node
struct Node {
    int data;
    struct Node* next;
};

// Function to insert a new node at the end of the linked list
void insertEnd(struct Node** head, int data) {
    struct Node* newNode = (struct Node*)malloc(sizeof(struct Node));
    newNode->data = data;
    newNode->next = NULL;
    
    if (*head == NULL) {
        *head = newNode;
    } else {
        struct Node* current = *head;
        while (current->next != NULL) {
            current = current->next;
        }
        current->next = newNode;
    }
}

// Function to find the midpoint of the linked list using fast and slow pointers
struct Node* findMidpoint(struct Node* head) {
    if (head == NULL || head->next == NULL) {
        return head;
    }
    
    struct Node* slow = head;
    struct Node* fast = head->next;
    
    while (fast != NULL && fast->next != NULL) {
        slow = slow->next;
        fast = fast->next->next;
    }
    
    return slow;
}

// Function to split the linked list into two parts at the given node
void splitLinkedList(struct Node* midNode, struct Node** head1, struct Node** head2) {
    if (midNode == NULL) {
        return;
    }
    
    *head1 = midNode->next;
    midNode->next = NULL;
    *head2 = midNode->next;
}

// Function to print the elements of a linked list
void printList(struct Node* head) {
    struct Node* current = head;
    while (current != NULL) {
        printf(""%d "", current->data);
        current = current->next;
    }
    printf(""\n"");
}

int main() {
    int n;
    scanf(""%d"", &n);
    
    struct Node* head = NULL;
    
    for (int i = 0; i < n; i++) {
        int data;
        scanf(""%d"", &data);
        insertEnd(&head, data);
    }
    
    struct Node* midNode = findMidpoint(head);
    
    struct Node* head1 = head;
    struct Node* head2 = midNode->next;
    midNode->next = NULL;
    
    printList(head1);
    printList(head2);
    
    return 0;
}
"
