Section,Link
aiml-a-week-2.csv,http://moss.stanford.edu/results/9/6166973603862
aiml-b-week-2.csv,http://moss.stanford.edu/results/0/8561227061759
aiml-c-week-2.csv,http://moss.stanford.edu/results/9/5628710110645
cse-a-week-2.csv,http://moss.stanford.edu/results/7/350446741530
cse-b-week-2.csv,http://moss.stanford.edu/results/9/5825556114754
cse-c-week-2.csv,http://moss.stanford.edu/results/9/4727450721870
cse-d-week-2.csv,http://moss.stanford.edu/results/6/4767059256296
cse-e-week-2.csv,http://moss.stanford.edu/results/1/3827388001113
cse-f-week-2.csv,http://moss.stanford.edu/results/1/5747410878922
cse-g-week-2.csv,http://moss.stanford.edu/results/0/7616889565634
cse-h-week-2.csv,http://moss.stanford.edu/results/4/5004710462849
cse-i-week-2.csv,http://moss.stanford.edu/results/2/3848966407562
cse-j-week-2.csv,Query submitted.  Waiting for the server's response.
cse-k-week-2.csv,http://moss.stanford.edu/results/0/5685152105029
cse-l-week-2.csv,Query submitted.  Waiting for the server's response.
