studentId,studentUserName,challenge,score,code
12261546,sutejask,Reversing a Linked List 1,7.5,"#include <stdio.h>
#include <stdlib.h>

typedef struct Node{
    int val;
    struct Node* next;
}Node;

void reverse(Node** head){
    Node* current = *head;
    if(current == NULL) return;
    Node* prev = NULL;
    Node* next = current->next;

    while(next!=NULL){
        current->next = prev;
        prev = current;
        current = next;
        next = next->next;
    }
    current->next = prev;
    (*head) = current;

}

int main(){
    int n,x;
    scanf(""%d"",&n);
    Node* head = NULL;
    Node* copy = NULL;
    for(int i=0;i<n;i++){
        scanf(""%d"",&x);
        Node* temp = malloc(sizeof(Node));
        temp->val = x;
        if(copy == NULL){
            head = temp;
            copy = temp;
        }
        else{
            copy->next = temp;
            copy = copy->next;
        }
    }

    reverse(&head);
    copy = head;
    while(copy!=NULL){
        printf(""%d"",copy->val);
        copy = copy->next;
    }
    return 0;
}
"
22689774,PES1UG22CS285,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

struct node{
    int data;
    struct node* next;
};

void display(struct node* head){
    struct node* curr = head;
    while (curr){
        printf(""%d"", curr->data);
        curr = curr->next;
    }
}

struct node* rev(struct node* head){
    struct node* prev = NULL;
    struct node* curr = head;
    while(curr){
        struct node* new = curr->next;
        curr->next = prev;
        prev = curr;
        curr = new;
    }
    return prev;
}

int main() {
    int n;
    scanf(""%d"", &n);
    
    struct node* head = NULL;
    struct node* current = NULL;
    for(int i=0; i<n; i++){
        int val;
        scanf(""%d"", &val);
        struct node* new = (struct node*)malloc(sizeof(struct node));
        new->data = val;
        new->next = NULL;
        if (current==NULL){
            head = new;
            current = new;
        }else{
            current->next = new;
            current = new;
        }
    }
    struct node* revHead = rev(head);
    display(revHead);
    
    current = revHead;
    while(current){
        struct node* temp = current;
        current = current->next;
        free(temp);
    }
    
    /* Enter your code here. Read input from STDIN. Print output to STDOUT */    
    return 0;
}
"
22689774,PES1UG22CS285,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct node
{
    long int data;
    struct node* next;
};

typedef struct node node;

void insert(node** head,int value)
{
    node* new=(node*)malloc(sizeof(node));
    new->data=value;
    new->next=NULL;
    if(*head==NULL)
        *head=new;
    else
    {
        node* current=*head;
        while(current->next!=NULL)
        {
            current=current->next;
        }
        current->next=new;
    }
}
node* addlists(node* list1,node* list2)
{
    node* sum_head=NULL;
    int car=0;
    while(list1||list2||car>0)
    {
        int val1=(list1!=NULL)?list1->data:0;
        int val2=(list2!=NULL)?list2->data:0;
        int current_sum=val1+val2+car;
        car=current_sum/10;
        int digit=current_sum%10;
        insert(&sum_head,digit);
        if(list1!=NULL)list1=list1->next;
        if(list2!=NULL)list2=list2->next;
    }
    return sum_head;
}
void printlist(node* head)
{
    while(head)
    {
        printf(""%ld "",head->data);
        head=head->next;
    }
}
int main() {

    long int n1,n2;
    scanf(""%ld %ld"",&n1,&n2);
    node* l1=NULL;
    node* l2=NULL;
    for(int i=0;i<n1;i++)
    {
        long int value;
        scanf(""%ld"",&value);
        insert(&l1,value);
    }
    for(int j=0;j<n2;j++)
    {
        long int value;
        scanf(""%ld"",&value);
        insert(&l2,value);
    }
    node* sum=addlists(l1,l2);
    printlist(sum);
    return 0;
}
"
22732209,pes1UG22CS295,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct node{
    int data;
    struct node* next;
};
struct node* reverse(struct node *head){
    struct node*prev=NULL;
    struct node* current=head;
    struct node* nextnode;
    while(current){
        nextnode=current->next;
        current->next=prev;
        prev=current;
        current=nextnode;
    }
    return prev;
}
void display(struct node *head) {
    struct node* current = head;
    while (current != NULL) {
        printf(""%d"", current->data);
        current = current->next;
    }
}
int main() {
    int numNodes;
    scanf(""%d"", &numNodes);
    
    struct node* head = NULL;
    struct node* current = NULL;
    
    for (int i = 0; i < numNodes; i++) {
        int value;
        scanf(""%d"", &value);
        
        struct node* newnode = (struct node*)malloc(sizeof(struct node));
        newnode->data = value;
        newnode->next = NULL;
        
        if (head == NULL) {
            head = newnode;
            current = head;
        } else {
            current->next = newnode;
            current = newnode;
        }
    }
    head = reverse(head);
    display(head);
    current = head;
    while (current != NULL) {
        struct node* temp = current;
        current = current->next;
        free(temp);
    }
}
"
22732209,pes1UG22CS295,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct node
{
    long int val;
    struct node* next;
};

typedef struct node node;

void insert(node** head,long int val)
{
    node* new=(node*)malloc(sizeof(node));
    new->val=val;
    new->next=NULL;
    if(*head==NULL)
        *head=new;
    else
    {
        node* curr=*head;
        while(curr->next!=NULL)
        {
            curr=curr->next;
        }
        curr->next=new;
    }
}
node* add(node* list1,node* list2)
{
    node* sum_head=NULL;
    long int car=0;
    while(list1!=NULL||list2!=NULL||car>0)
    {
        long int val1=(list1!=NULL)?list1->val:0;
        long int val2=(list2!=NULL)?list2->val:0;
        long int curr_sum=val1+val2+car;
        car=curr_sum/10;
        long int digit=curr_sum%10;
        insert(&sum_head,digit);
        if(list1!=NULL)list1=list1->next;
        if(list2!=NULL)list2=list2->next;
    }
    return sum_head;
}
void print(node* head)
{
    while(head!=NULL)
    {
        printf(""%ld "",head->val);
        head=head->next;
    }
}
int main() {

    long int n1,n2;
    scanf(""%ld %ld"",&n1,&n2);
    node* l1=NULL;
    node* l2=NULL;
    for(int i=0;i<n1;i++)
    {
        long int val;
        scanf(""%ld"",&val);
        insert(&l1,val);
    }
    for(int j=0;j<n2;j++)
    {
        long int val;
        scanf(""%ld"",&val);
        insert(&l2,val);
    }
    node* sum=add(l1,l2);
    print(sum);
    return 0;
}
"
22732261,PES1UG22CS275,Reversing a Linked List 1,15,"#include<stdio.h>
#include<string.h>
#include<math.h>
#include<stdlib.h>

struct node{
    int data;
    struct node *link;
};
struct node *reverselist(struct node *head){
    struct node *prev=NULL;
    struct node *cur=head;
    while(cur!=NULL){
        struct node *newnode=cur->link;
        cur->link=prev;
        prev=cur;
        cur=newnode;
    }
    return prev;
}
void printlist(struct node *head){
    struct node *cur=head;
    while(cur!=NULL){
        printf(""%d"",cur->data);
        cur=cur->link;
    }
}
int main(){
    int n;
    int data;
    scanf(""%d"",&n);
    if (n < 0 || n > 1000) {
        printf(""Invalid number of nodes\n"");
        return 1;
    }
    struct  node *head=NULL;
    struct node *prev=NULL;
    for(int i=0;i<n;i++){
        
        scanf(""%d"",&data);
        if (data < -1000 || data > 1000) {
            printf(""Invalid node value\n"");
            return 1;
        }
        struct node *newnode=(struct node *)malloc(sizeof(struct node));
        newnode->data=data;
        newnode->link=NULL;
        if(prev==NULL){
            head=newnode;
        }
        else{
            prev->link=newnode;
        }
        prev=newnode;
    }
    struct node* reversedHead = reverselist(head);
    printlist(reversedHead);
    
    
    return 0;
}"
22732261,PES1UG22CS275,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct Node
{
    int value;
    struct Node* next;
};

typedef struct Node Node;

void insert(Node** head,int value)
{
    Node* new_node=(Node*)malloc(sizeof(Node));
    new_node->value=value;
    new_node->next=NULL;
    if(*head==NULL)
        *head=new_node;
    else
    {
        Node* current=*head;
        while(current->next!=NULL)
        {
            current=current->next;
        }
        current->next=new_node;
    }
}
Node* addlists(Node* list1,Node* list2)
{
    Node* sum_head=NULL;
    int car=0;
    while(list1!=NULL||list2!=NULL||car>0)
    {
        int val1=(list1!=NULL)?list1->value:0;
        int val2=(list2!=NULL)?list2->value:0;
        int current_sum=val1+val2+car;
        car=current_sum/10;
        int digit=current_sum%10;
        insert(&sum_head,digit);
        if(list1!=NULL)list1=list1->next;
        if(list2!=NULL)list2=list2->next;
    }
    return sum_head;
}
void printlist(Node* head)
{
    while(head!=NULL)
    {
        printf(""%d "",head->value);
        head=head->next;
    }
}
int main() {

    int n1,n2;
    scanf(""%d %d"",&n1,&n2);
    Node* l1=NULL;
    Node* l2=NULL;
    for(int i=0;i<n1;i++)
    {
        int value;
        scanf(""%d"",&value);
        insert(&l1,value);
    }
    for(int j=0;j<n2;j++)
    {
        int value;
        scanf(""%d"",&value);
        insert(&l2,value);
    }
    Node* sum=addlists(l1,l2);
    printlist(sum);
    return 0;
}"
22732266,PES1UG22CS272,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

typedef struct ListNode {
    int val;
    struct ListNode* next;
} NODE;

NODE* reverseLinkedList(NODE* head)
{
    NODE* prev = NULL;
    NODE* current = head;
    while (current != NULL) {
        NODE* nextNode = current->next;
        current->next = prev;
        prev = current;
        current = nextNode;
    }
    return prev;
}

void printLinkedListValues(NODE* head)
{
    NODE* current = head;
    while (current != NULL) {
        printf(""%d"", current->val);
        current = current->next;
    }
}

int main()
{
    int num_nodes;
    scanf(""%d"", &num_nodes);
    NODE* head = NULL;
    NODE* current = NULL;
    for (int i = 0; i < num_nodes; i++) {
        int val;
        scanf(""%d"", &val);
        NODE* newNode = (NODE*)malloc(sizeof(NODE));
        newNode->val = val;
        newNode->next = NULL;

        if (head == NULL) {
            head = newNode;
            current = head;
        } else {
            current->next = newNode;
            current = current->next;
        }
    }
    NODE* reversedHead = reverseLinkedList(head);
    
    printLinkedListValues(reversedHead);
    while (reversedHead != NULL) {
        NODE* temp = reversedHead;
        reversedHead = reversedHead->next;
        free(temp);
    }
    return 0;
}"
22732266,PES1UG22CS272,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <stdlib.h>

typedef struct ListNode {
    int value;
    struct ListNode* next;
} NODE;

NODE* addReversedDigitLists(NODE* list1, NODE* list2) {
    NODE* result = NULL;
    NODE* current = NULL;
    int carry = 0;

    while (list1 != NULL || list2 != NULL || carry != 0) {
        int sum = carry;
        
        if (list1 != NULL) {
            sum += list1->value;
            list1 = list1->next;
        }
        
        if (list2 != NULL) {
            sum += list2->value;
            list2 = list2->next;
        }
        
        carry = sum / 10;
        sum %= 10;

        NODE* new_node = (NODE*)malloc(sizeof(NODE));
        new_node->value = sum;
        new_node->next = NULL;

        if (result == NULL) {
            result = new_node;
            current = result;
        } else {
            current->next = new_node;
            current = current->next;
        }
    }

    return result;
}

void printLinkedList(NODE* head) {
    NODE* current = head;
    while (current != NULL) {
        printf(""%d "", current->value);
        current = current->next;
    }
}

void freeLinkedList(NODE* head) {
    while (head != NULL) {
        NODE* temp = head;
        head = head->next;
        free(temp);
    }
}

int main() {
    int num_digits_list1, num_digits_list2;
    scanf(""%d %d"", &num_digits_list1, &num_digits_list2);

    NODE* list1 = NULL;
    NODE* current1 = NULL;
    int value;

    for (int i = 0; i < num_digits_list1; i++) {
        scanf(""%d"", &value);
        NODE* new_node = (NODE*)malloc(sizeof(NODE));
        new_node->value = value;
        new_node->next = NULL;

        if (list1 == NULL) {
            list1 = new_node;
            current1 = list1;
        } else {
            current1->next = new_node;
            current1 = current1->next;
        }
    }

    NODE* list2 = NULL;
    NODE* current2 = NULL;

    for (int i = 0; i < num_digits_list2; i++) {
        scanf(""%d"", &value);
        NODE* new_node = (NODE*)malloc(sizeof(NODE));
        new_node->value = value;
        new_node->next = NULL;

        if (list2 == NULL) {
            list2 = new_node;
            current2 = list2;
        } else {
            current2->next = new_node;
            current2 = current2->next;
        }
    }

    NODE* result = addReversedDigitLists(list1, list2);
    printLinkedList(result);
    freeLinkedList(result);

    return 0;
}
"
22732293,PES1UG22CS286,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

struct ListNode {
    int value;
    struct ListNode* next;
};

struct ListNode* reverseLinkedList(struct ListNode* head) {
    struct ListNode* prev = NULL;
    struct ListNode* current = head;
    struct ListNode* nextNode = NULL;

    while (current != NULL) {
        nextNode = current->next;
        current->next = prev;
        prev = current;
        current = nextNode;
    }

    return prev;
}

void printReversedLinkedList(struct ListNode* head) {
    while (head != NULL) {
        printf(""%d"", head->value);
        head = head->next;
    }
    printf(""\n"");
}

int main() {
    int numNodes;
    scanf(""%d"", &numNodes);

    struct ListNode* head = NULL;
    struct ListNode* tail = NULL;

    for (int i = 0; i < numNodes; i++) {
        int value;
        scanf(""%d"", &value);

        struct ListNode* newNode = (struct ListNode*)malloc(sizeof(struct ListNode));
        newNode->value = value;
        newNode->next = NULL;

        if (head == NULL) {
            head = newNode;
            tail = newNode;
        } else {
            tail->next = newNode;
            tail = newNode;
        }
    }

    struct ListNode* newHead = reverseLinkedList(head);
    printReversedLinkedList(newHead);

    // Clean up memory
    while (newHead != NULL) {
        struct ListNode* temp = newHead;
        newHead = newHead->next;
        free(temp);
    }

    return 0;
}"
