studentId,studentUserName,challenge,score,code
13453678,PES1UG22CS568,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

typedef struct Node {
    int data;
    struct Node *next;
} NODE;

void printLinkedList(NODE *head) {
    NODE *current = head;
    
    while (current != NULL) {
        printf(""%d"", current -> data);
        current = current -> next;
    }
}

void nullPrint(NODE *node) {
    if (node != NULL) { printf(""%d\n"", node -> data); } else { printf(""%d\n"", -1); }
}


NODE *reverseLinkedList(NODE *head) {
    if (head == NULL) { return NULL; } // empty linked list
    if (head -> next == NULL) { return head; } // single node linked list
    
    NODE *current = head;
    NODE *left, *right;
    left = right = NULL;
    
    while (current != NULL) {
        right = current -> next;
        //printf(""left = ""); nullPrint(left);
        //printf(""current = ""); nullPrint(current);
        //printf(""right = ""); nullPrint(right);
        current -> next = left;
        left = current;
        current = right;
    }
    
    return left;
}

int getInput() {
    int d; scanf(""%d"", &d);
    return d;
}

int main() {
    NODE *head, *current;
    
    int n; scanf(""%d"", &n); // get lengh of list
    
    if (n == 0) { return 0; }
    
    // get head input
    head = (NODE *)malloc(sizeof(NODE));
    head -> data = getInput();
    current = head;
    
    // get remaining nodes input
    for (int i = 0; i < (n - 1); i++) {
        current -> next = (NODE *)malloc(sizeof(NODE));
        current = current -> next;
        current -> data = getInput();
    }
    current -> next = NULL; // ensure list ends
    
    // reverse the linked list
    head = reverseLinkedList(head);
    printLinkedList(head);
    
    
    return 0;
}
"
13453678,PES1UG22CS568,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct ListNode {
    int val;
    struct ListNode* next;
};
void insertEnd(struct ListNode** head, int value) {
    struct ListNode* newNode = (struct ListNode*)malloc(sizeof(struct ListNode));
    newNode->val = value;
    newNode->next = NULL;

    if (*head == NULL) {
        *head = newNode;
    } else {
        struct ListNode* current = *head;
        while (current->next != NULL) {
            current = current->next;
        }
        current->next = newNode;
    }
}
struct ListNode* addLists(struct ListNode* l1, struct ListNode* l2) {
    struct ListNode dummy = {0};
    struct ListNode* current = &dummy;
    int carry = 0;

    while (l1 != NULL || l2 != NULL || carry) {
        int sum = carry;
        if (l1 != NULL) {
            sum += l1->val;
            l1 = l1->next;
        }
        if (l2 != NULL) {
            sum += l2->val;
            l2 = l2->next;
        }

        carry = sum / 10;
        sum %= 10;

        insertEnd(&(current->next), sum);
        current = current->next;
    }

    return dummy.next;
}
void printList(struct ListNode* head) {
    struct ListNode* current = head;
    while (current != NULL) {
        printf(""%d "", current->val);
        current = current->next;
    }
}
int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);

    struct ListNode* num1 = NULL;
    struct ListNode* num2 = NULL;

    for (int i = 0; i < n1; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertEnd(&num1, digit);
    }

    for (int i = 0; i < n2; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertEnd(&num2, digit);
    }

    struct ListNode* result = addLists(num1, num2);
    printList(result);


    return 0;
}"
20677764,sirigireddyamit1,Reversing a Linked List 1,15,"#include <stdio.h>
#include <stdlib.h>

struct node {
    int data;
    struct node* next;
};

void what(struct node** p) {
    struct node* cur, * prev, * temp;
    prev = NULL;
    cur = *p;
    while (cur != NULL) {
        temp = cur->next;
        cur->next = prev;
        prev = cur;
        cur = temp;
    }
    *p = prev;
}

void printLinkedList(struct node* head) {
    struct node* current = head;
    while (current != NULL) {
        printf(""%d"", current->data);
        current = current->next;
    }
}

int main() {
    int n;
    scanf(""%d"", &n);

    struct node* head = NULL;
    struct node* tail = NULL;

    for (int i = 0; i < n; i++) {
        int value;
        scanf(""%d"", &value);

        struct node* newNode = (struct node*)malloc(sizeof(struct node));
        newNode->data = value;
        newNode->next = NULL;

        if (head == NULL) {
            head = newNode;
            tail = newNode;
        }
        else {
            tail->next = newNode;
            tail = newNode;
        }
    }

    what(&head);
    printLinkedList(head);

    return 0;
}"
20677764,sirigireddyamit1,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct ListNode {
    int val;
    struct ListNode* next;
};
void insertEnd(struct ListNode** head, int value) {
    struct ListNode* newNode = (struct ListNode*)malloc(sizeof(struct ListNode));
    newNode->val = value;
    newNode->next = NULL;

    if (*head == NULL) {
        *head = newNode;
    } else {
        struct ListNode* current = *head;
        while (current->next != NULL) {
            current = current->next;
        }
        current->next = newNode;
    }
}
struct ListNode* addLists(struct ListNode* l1, struct ListNode* l2) {
    struct ListNode dummy = {0};
    struct ListNode* current = &dummy;
    int carry = 0;

    while (l1 != NULL || l2 != NULL || carry) {
        int sum = carry;
        if (l1 != NULL) {
            sum += l1->val;
            l1 = l1->next;
        }
        if (l2 != NULL) {
            sum += l2->val;
            l2 = l2->next;
        }

        carry = sum / 10;
        sum %= 10;

        insertEnd(&(current->next), sum);
        current = current->next;
    }

    return dummy.next;
}
void printList(struct ListNode* head) {
    struct ListNode* current = head;
    while (current != NULL) {
        printf(""%d "", current->val);
        current = current->next;
    }
}
int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);

    struct ListNode* num1 = NULL;
    struct ListNode* num2 = NULL;

    for (int i = 0; i < n1; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertEnd(&num1, digit);
    }

    for (int i = 0; i < n2; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertEnd(&num2, digit);
    }

    struct ListNode* result = addLists(num1, num2);
    printList(result);


    return 0;
}"
20678185,PES1UG22CS564,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
typedef struct node{
    int info;
    struct node *next;
}NODE;

NODE *createNode(int ele);
NODE* insertFront(NODE* head,int ele);
void display(NODE *head);

int main() {
    int n,ele;
     NODE *head=NULL;
    scanf(""%d"",&n);
    
    for(int i=0;i<n;i++){
        scanf(""%d"",&ele);
        head=insertFront(head,ele);
    }
    if(n==1){
        printf(""%d"",ele);
        return 0;
    }
    display(head);
    return 0;
}
NODE *createNode(int ele){
    NODE* newNode=malloc(sizeof(struct node));
    newNode->info=ele;
    newNode->next=NULL;
    return newNode;
}
NODE* insertFront(NODE* head,int ele){
    NODE* newNode = createNode(ele);
if (newNode == NULL) {
    return head;
}
newNode->next = head;
head = newNode;
return head;

}
void display(NODE *head){
        NODE* p=head;
        while (p!=NULL){
            printf(""%d"",p->info);
            p=p->next;
        }
        
}"
20678185,PES1UG22CS564,ADD TWO NUMBERS 104,15,"/*#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
typedef struct node{
    int info;
    struct node *next;
}NODE;
NODE *insertBack(NODE *head,int ele);
NODE *createNode(int ele);
NODE* insertFront(NODE* head,int ele);
void display(NODE *head);
int main() {
    NODE *head1=NULL;
    NODE *head2=NULL;
    NODE *head3=NULL;
    int n1,n2,ele1,ele2,ele3,n3;
    scanf(""%d %d"",&n1,&n2);
    for(int i=0;i<n1;i++){
        scanf(""%d "",&ele1);
        head1=insertFront(head1,ele1);
    }
    for(int j=0;j<n2;j++){
        scanf(""%d "",&ele2);
        head2=insertFront(head2,ele2);
    }
    if(n1<n2)
        n3=n2;
    else
        n3=n1;
    for(int k=0;k<n3;k++){
        ele3=head1->info+head2->info;
        head3=insertBack(head3,ele3);
        head1=head1->next;
        head2=head2->next;
        head3=head3->next;
    }
    display(head3);
    
    return 0;
}

NODE *insertBack(NODE *head,int ele){
    NODE *newnode=createNode(ele);
    if(newnode==NULL){
        return head;
    } 
    if(head==NULL){
        return newnode;
    }
    NODE *q=head;
    while(q->next!=NULL){
        q=q->next;

    }
    q->next=newnode;
    return head;
}

NODE* insertFront(NODE* head,int ele){
    NODE* newNode = createNode(ele);
if (newNode == NULL) {
    return head;
}
newNode->next = head;
head = newNode;
return head;

}

NODE *createNode(int ele){
    NODE* newNode=malloc(sizeof(struct node));
    newNode->info=ele;
    newNode->next=NULL;
    return newNode;
}

void display(NODE *head){
        NODE* p=head;
        while (p!=NULL){
            printf(""%d "",p->info);
            p=p->next;
        }
        
}
*/
#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

typedef struct node{
    int data;
    struct node* next;
}NODE;

typedef struct{
    NODE* head;
}singlinklist;

NODE* newnode(int val);
void initialize(singlinklist* ll);
void insertback(singlinklist* ll, int ele);
int deletefront(singlinklist* ll);
void display(singlinklist* ll);
void reverse(singlinklist* ll);
void freelist(singlinklist* ll);

int main() {

    /* Enter your code here. Read input from STDIN. Print output to STDOUT */
    int num1, num2, temper, carry=0, temper1, temper2, temper3=0;
    scanf(""%d"", &num1);
    scanf(""%d"", &num2);
    
    singlinklist l1, l2, l3;
    initialize(&l1);
    initialize(&l2);
    initialize(&l3);
    
    for (int i=0; i<num1; i++){
        scanf(""%d"", &temper);
        insertback(&l1, temper);
    }
    for (int i=0; i<num2; i++){
        scanf(""%d"", &temper);
        insertback(&l2, temper);
    }
    
    
    temper=0;
    carry=0;
    for (int i=0; i<(num1>num2?num1:num2); i++){
        temper1=deletefront(&l1);
        temper1=(temper1==EOF)?0:temper1;
        temper2=deletefront(&l2);
        temper2=(temper2==EOF)?0:temper2;
        if ((temper1+temper2+carry)>=10){
            temper3=carry;
            carry=(temper1+temper2+carry)/10;
            temper=(temper1+temper2+temper3)%10;
        }
        else{
            temper=(temper1+temper2+carry);
            carry=0;
        }
        insertback(&l3, temper);
    }
    if (carry){
        insertback(&l3, carry);
        carry=0;
    }
    display(&l3);
    freelist(&l1);
    freelist(&l2);
    freelist(&l3);
    return 0;
}

NODE* newnode(int val){
    NODE* temper=(NODE*) malloc(sizeof(NODE));
    temper->data=val;
    temper->next=temper;
    return temper;
}

void initialize(singlinklist* ll){
    ll->head=NULL;
}

void insertback(singlinklist* ll, int ele){
    NODE* temper=ll->head;
    if (temper){
        while (temper->next){
            temper=temper->next;
        }
        temper->next=malloc(sizeof(NODE));
        temper->next->data=ele;
        temper->next->next=NULL;
    }
    else{
        ll->head=malloc(sizeof(NODE));
        ll->head->data=ele;
        ll->head->next=NULL;
    }
}

int deletefront(singlinklist* ll){
    int temper=EOF;
    NODE* head=ll->head;
    if (head){
        ll->head=head->next;
        temper=head->data;
        free(head);
    }
    return temper;
}

void display(singlinklist* ll){
    if (ll->head){
        NODE* temper=ll->head;
        while (temper){
            printf(""%d "", temper->data);
            temper=temper->next;
        }
    }
}

void reverse(singlinklist* ll){
    NODE* temper=ll->head;
    NODE* temper1=NULL;
    NODE* prev=NULL;
    NODE* next=NULL;
    if (temper){
        while (temper){
            next=temper->next;
            if (prev==NULL){
                temper1=temper;
                temper1->next=NULL;
            }
            else{
                temper->next=temper1;
                temper1=temper;
            }
            prev=temper;
            temper=next;
        }
        ll->head=temper1;
    }
}


void freelist(singlinklist* ll){
    if (ll->head){
        NODE* temper=ll->head;
        NODE* temper1=NULL;
        while (temper){
            temper1=temper->next;
            free(temper);
            temper=temper1;
        }
        ll->head=NULL;
    }
}"
22403558,srilakshmii_mot1,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>

struct Node {
    int value;
    struct Node* next;
};

struct Node* reverseLinkedList(struct Node* head) {
    struct Node* prev = NULL;
    struct Node* current = head;
    struct Node* next_node;
    
    while (current != NULL) {
        next_node = current->next;
        current->next = prev;
        prev = current;
        current = next_node;
    }
    
    return prev;
}

void printLinkedList(struct Node* head) {
    struct Node* current = head;
    while (current != NULL) {
        printf(""%d"", current->value);
        current = current->next;
    }
}

int main() {
    int num_nodes;
    scanf(""%d"", &num_nodes);
    
    struct Node* head = NULL;
    struct Node* current = NULL;
    
    for (int i = 0; i < num_nodes; i++) {
        int value;
        scanf(""%d"", &value);
        
        struct Node* new_node = (struct Node*)malloc(sizeof(struct Node));
        new_node->value = value;
        new_node->next = NULL;
        
        if (head == NULL) {
            head = new_node;
            current = new_node;
        } else {
            current->next = new_node;
            current = new_node;
        }
    }
    
    head = reverseLinkedList(head);
    printLinkedList(head);
    
    return 0;
}

"
22403558,srilakshmii_mot1,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct ListNode {
    int val;
    struct ListNode* next;
};
void insertEnd(struct ListNode** head, int value) {
    struct ListNode* newNode = (struct ListNode*)malloc(sizeof(struct ListNode));
    newNode->val = value;
    newNode->next = NULL;

    if (*head == NULL) {
        *head = newNode;
    } else {
        struct ListNode* current = *head;
        while (current->next != NULL) {
            current = current->next;
        }
        current->next = newNode;
    }
}
struct ListNode* addLists(struct ListNode* l1, struct ListNode* l2) {
    struct ListNode dummy = {0};
    struct ListNode* current = &dummy;
    int carry = 0;

    while (l1 != NULL || l2 != NULL || carry) {
        int sum = carry;
        if (l1 != NULL) {
            sum += l1->val;
            l1 = l1->next;
        }
        if (l2 != NULL) {
            sum += l2->val;
            l2 = l2->next;
        }

        carry = sum / 10;
        sum %= 10;

        insertEnd(&(current->next), sum);
        current = current->next;
    }

    return dummy.next;
}
void printList(struct ListNode* head) {
    struct ListNode* current = head;
    while (current != NULL) {
        printf(""%d "", current->val);
        current = current->next;
    }
}
int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);

    struct ListNode* num1 = NULL;
    struct ListNode* num2 = NULL;

    for (int i = 0; i < n1; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertEnd(&num1, digit);
    }

    for (int i = 0; i < n2; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertEnd(&num2, digit);
    }

    struct ListNode* result = addLists(num1, num2);
    printList(result);


    return 0;
}

"
22652533,PES1UG22CS902,Reversing a Linked List 1,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
typedef struct node
{
    int data;
    struct node* link;
}NODE;
typedef struct llist
{
    NODE* head;
}LLIST;
void init(LLIST* ptr)
{
    ptr->head=NULL;
}
NODE* createnode(int ele)
{
    NODE* temp=malloc(sizeof(NODE));
    if(temp!=NULL)
    {
        temp->data=ele;
        temp->link=NULL;
    }
    return temp;
}
void insertfront(int ele,LLIST* ptr)
{
    NODE *temp=createnode(ele);
    temp->link=ptr->head;
    ptr->head=temp;
}
void insertrear(int ele, LLIST *ptr)
{
    NODE*temp=createnode(ele);
    if(ptr->head==NULL)
    {
        ptr->head=temp;
    }
    else{
        NODE* curr=ptr->head;
        while(curr->link!=NULL)
        {
            curr=curr->link;
        }
        curr->link=temp;
    }
}
void display(LLIST *ptr)
{
    if(ptr->head==NULL)
    {
        printf(""Empty list"");
    }
    else{
        NODE* curr=ptr->head;
        while(curr!=NULL)
        {
            printf(""%d"",curr->data);
            curr=curr->link;
        }
    }
}

int main() {

    int n;
    LLIST mylist;
    LLIST newlist;
    init(&mylist); //init is used to inititalise mylist to NULL
    init(&newlist);
    scanf(""%d"",&n);
    if(n==0)
    {
        return 0;
    }
    int arr[n];
    for(int i=0;i<n;i++)
    {
        scanf(""%d"",&arr[i]);
        insertrear(arr[i],&mylist);
        insertfront(arr[i],&newlist);
    }
    display(&newlist);

}
"
22652533,PES1UG22CS902,ADD TWO NUMBERS 104,15,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>



#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
struct NODE {
    int data;
    struct NODE* link;
};
void insertrear(struct NODE** head, int value) {
    struct NODE* temp = (struct NODE*)malloc(sizeof(struct NODE));
    temp->data = value;
    temp->link = NULL;

    if (*head == NULL) {
        *head = temp;
    } else {
        struct NODE* current = *head;
        while (current->link != NULL) {
            current = current->link;
        }
        current->link = temp;
    }
}
struct NODE* addLists(struct NODE* l1, struct NODE* l2) {
    struct NODE dummy = {0};
    struct NODE* current = &dummy;
    int carry = 0;

    while (l1 != NULL || l2 != NULL || carry) {
        int sum = carry;
        if (l1 != NULL) {
            sum += l1->data;
            l1 = l1->link;
        }
        if (l2 != NULL) {
            sum += l2->data;
            l2 = l2->link;
        }

        carry = sum / 10;
        sum %= 10;

        insertrear(&(current->link), sum);
        current = current->link;
    }

    return dummy.link;
}
void display(struct NODE* head) {
    struct NODE* current = head;
    while (current != NULL) {
        printf(""%d "", current->data);
        current = current->link;
    }
}
int main() {
    int n1, n2;
    scanf(""%d %d"", &n1, &n2);

    struct NODE* num1 = NULL;
    struct NODE* num2 = NULL;

    for (int i = 0; i < n1; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertrear(&num1, digit);
    }

    for (int i = 0; i < n2; i++) {
        int digit;
        scanf(""%d"", &digit);
        insertrear(&num2, digit);
    }

    struct NODE* result = addLists(num1, num2);
    display(result);


    return 0;
}
"
