Section,Link
aiml-a-week-2.csv,Query submitted.  Waiting for the server's response.
aiml-a-week-2.csv,http://moss.stanford.edu/results/7/4958499391536
aiml-b-week-2.csv,http://moss.stanford.edu/results/2/6450915989439
aiml-c-week-2.csv,http://moss.stanford.edu/results/8/1900060280199
cse-a-week-2.csv,http://moss.stanford.edu/results/1/4411365202135
cse-b-week-2.csv,http://moss.stanford.edu/results/3/6207942365176
cse-c-week-2.csv,http://moss.stanford.edu/results/8/2455446944023
cse-d-week-2.csv,http://moss.stanford.edu/results/9/5525726583759
cse-e-week-2.csv,http://moss.stanford.edu/results/8/8055061633671
cse-f-week-2.csv,http://moss.stanford.edu/results/6/1446625009152
cse-g-week-2.csv,http://moss.stanford.edu/results/2/1007382851998
cse-h-week-2.csv,http://moss.stanford.edu/results/6/2566308808486
cse-i-week-2.csv,http://moss.stanford.edu/results/3/3961478209562
cse-j-week-2.csv,Query submitted.  Waiting for the server's response.
cse-k-week-2.csv,http://moss.stanford.edu/results/8/1799553540508
cse-l-week-2.csv,Query submitted.  Waiting for the server's response.
responses.csv,http://moss.stanford.edu/results/3/7167706623181
